number,Lake ,Mrelicta,Maffinis,Pallasea,PC,Lat,Lon
1,Aisetas,2,0,2,0,55.30818,25.7549
2,Akmena,0,0,1,0,54.66319,24.88472
3,Alaušas,0,0,9,,55.61547282,25.70026913
4,Antalieptės marios,0,0,9,,55.62206,26.02862
5,Asalnai,2,0,2,1,55.35191,26.0443
6,Asveja,2,0,2,1,55.04408,25.50682
7,Avilys,0,0,9,,55.7699,26.06019
8,Baltas,0,0,9,,55.25889,25.854
9,Baltieji Lakajai,1,0,2,0,55.21629,25.60549
10,Baluošai,2,0,2,0,55.04511,25.56411
11,Baluošas,2,0,2,1,55.4029,26.02475
12,Bebrusai,0,0,9,,55.1902,25.46626
13,Čičirys,0,0,2,0,55.814854,26.053235
14,Dringis,0,0,9,,55.37376,26.1
15,Drūkšiai,1,0,1,1,55.63152,26.60113
16,Dusia,1,1,1,1,54.28974,23.688
17,Galstas,0,0,2,1,54.14572,23.57593
18,Galvė,0,0,2,0,54.66051,24.93197
19,Gavys,0,0,9,,55.32868,26.13423
20,Ilgai,0,1,2,0,54.63151,24.75687
21,Juodieji Lakajai,0,0,9,,55.19653,25.64593
22,Luka (Bernardinų),0,0,9,,54.63893,24.94416
23,Luodis ,0,0,1,0,55.58133,26.20469
24,Luokesai,1,0,2,0,55.21088,25.42013
25,Lūšiai ,2,0,2,1,55.3331,26.06637
26,Metelys,0,0,9,,54.2958,23.77807
27,Peršokšnai,1,0,1,0,55.21899,25.79639
28,Rašia,0,0,9,,55.211,25.699
29,Siesartis,1,0,1,0,55.2309,25.53158
30,Šakarvai,2,0,2,1,55.31709,26.05913
31,Samavas,0,0,9,,55.64547,26.21384
32,Seirijis,0,0,9,,54.19974,23.83593
33,Skaistis,0,0,9,,54.66338,24.97444
34,Smalvas,0,0,9,,55.61578,26.39335
35,Šventas,0,0,1,0,55.61331,26.29838
36,Tauragnas,0,0,2,0,55.44803,25.89135
37,Ūkojas,1,0,2,0,55.37258,25.97065
38,Ūsiai,0,0,9,,55.29971,25.97696
39,Vencavas,0,0,2,0,55.71111,25.97241
40,Verniejus,0,0,9,,54.54709,24.58281
41,Vievis,0,0,9,,54.75503,24.81898
42,Vištytis,0,0,2,1,54.436116,22.743126
43,Zarasaitis,0,0,9,,55.724801,26.25219
44,Zarasas,2,0,2,0,55.72683,26.2333
45,Žeimenys,2,0,2,1,55.28836,26.06128
46,Žiezdras,0,0,9,,55.32334,25.93835
